country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,total
AFGHANISTAN,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,7
ALGERIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
ARGENTINA,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,1,1,1,1,4,2,5,6,27
ARMENIA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
AUSTRALIA,0,1,0,0,2,1,0,0,1,0,0,0,1,0,0,1,0,3,1,2,1,2,1,17
AUSTRIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4
AZERBAIJAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
BAHRAIN,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
BANGLADESH,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,5,1,6,16
BELGIUM,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,2,3,2,2,1,2,17
BOLIVIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,4
BRAZIL,2,1,2,1,1,3,0,0,0,0,1,0,1,0,1,1,0,11,5,7,15,10,17,79
BULGARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3
BURMA,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,2,0,9
CAMBODIA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,6
CAMEROON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
CANADA,1,3,6,6,4,8,3,1,2,0,5,3,2,6,6,2,10,25,15,7,19,13,16,163
CAYMAN ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CHILE,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,6
CHINA,11,45,28,51,85,139,72,8,12,6,17,9,13,29,71,106,237,600,831,921,2873,3147,4153,13464
COLOMBIA,0,0,0,0,0,8,0,1,0,0,0,0,1,0,0,1,7,1,1,3,6,6,6,41
CONGO,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
COSTA RICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3
COTE D'IVOIRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
CROATIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CYPRUS,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
CZECH REPUBLIC,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,7
DENMARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,2,8
DOMINICAN REPUBLIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,4
ECUADOR,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1,11
EGYPT,0,1,1,1,0,3,0,0,0,0,0,0,1,0,0,1,0,4,2,8,9,4,18,53
EL SALVADOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
ETHIOPIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,5
FIJI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
FINLAND,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7
FRANCE,1,0,1,1,3,2,0,0,0,0,1,1,0,0,3,2,2,6,5,3,7,4,8,50
FRENCH POLYNESIA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GEORGIA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,4
GERMANY,5,5,4,3,8,19,3,3,3,3,2,1,1,2,1,3,4,7,10,6,9,3,5,110
GHANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
GREECE,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,8
GUATEMALA,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,7
GUYANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,3
HONDURAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,4
HONG KONG,5,22,15,22,25,27,12,0,2,3,2,0,0,2,3,1,2,5,2,4,11,2,8,175
HUNGARY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,5
ICELAND,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3
INDIA,6,4,3,7,8,20,9,0,1,0,2,5,1,7,6,7,18,32,18,23,55,34,57,323
INDONESIA,2,1,2,2,2,4,3,0,0,0,1,0,1,1,3,3,0,2,4,1,1,2,4,39
IRAN,2,2,1,1,2,12,4,0,0,0,2,2,0,7,4,1,6,29,42,31,43,20,49,260
IRAQ,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,2,2,1,3,17
IRELAND,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,2,1,1,1,1,0,12
ISRAEL,0,3,1,3,1,3,3,0,0,0,0,2,1,0,1,3,2,1,0,2,2,4,1,33
ITALY,1,0,2,2,2,4,0,1,1,0,0,1,0,0,2,0,0,7,2,5,2,1,4,37
JAMAICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3
JAPAN,1,3,3,0,10,24,14,1,0,0,0,0,2,4,10,14,15,16,5,11,9,30,16,188
JORDAN,1,0,1,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,14
KAZAKHSTAN,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,9,2,3,23
KENYA,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,8
KOREA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,22
KUWAIT,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7
LAOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
LATVIA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
LEBANON,1,1,2,1,3,3,3,0,1,1,0,0,0,1,1,1,0,1,3,1,3,2,1,30
LIBERIA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
LIBYA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LITHUANIA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3
LUXEMOURG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
MACAU,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9
MACEDONIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
MALAWI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3
MALAYSIA,0,0,0,1,0,3,2,0,0,0,0,0,0,1,0,3,3,1,0,1,1,4,3,23
MALTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
MEXICO,3,2,3,4,5,3,0,0,0,0,1,1,1,3,2,2,5,13,20,18,55,32,35,208
MOLDOVIA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MONGOLIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3
MOROCCO,0,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,8
NEPAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
NETHERLANDS,1,2,0,0,2,2,2,1,1,1,2,1,2,9,12,9,6,5,10,6,9,6,3,92
NEW ZEALAND,0,2,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,3,2,1,2,0,1,18
NIGER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NIGERIA,0,0,0,2,1,0,1,0,0,0,0,0,0,2,0,1,1,3,0,6,9,7,16,49
NORTH KOREA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
NORWAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3
OMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
PAKISTAN,1,0,5,2,4,6,7,0,0,0,0,1,0,1,4,2,2,7,2,1,8,3,6,62
PALESTINE,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
PANAMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
PARAGUAY,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3
PERU,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,2,12
PHILIPPINES,1,2,2,4,2,13,3,2,0,0,1,0,1,0,1,2,1,1,0,1,2,1,4,44
POLAND,0,0,0,1,0,1,2,0,0,1,0,0,0,2,0,0,0,1,0,1,1,1,0,11
PORTUGAL,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,7
